,RTT,DJ,UJ,DL,UL,DTH,UTH,Userfeedback,Youtube_720P,YOUTUBE_AUTO_MOS,Depth,Detail_node
0,311.08,55723941.43,53614588.65,0.41,0.68,1024365.77,10381076.5,0,0,3,8,"['D 1 -> F_name: DTH  (F_Val: 1024365.77, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 311.08, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 1024365.77, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.41, M_Val: 0.275) Branch: falseBranch', 'D 5 -> F_name: RTT  (F_Val: 311.08, M_Val: 73500000) Branch: trueBranch', 'D 6 -> F_name: DJ  (F_Val: 55723941.43, M_Val: 29000000) Branch: falseBranch', 'D 7 -> F_name: DJ  (F_Val: 55723941.43, M_Val: 206000000) Branch: trueBranch', 'D 8 -> F_name: RTT  (F_Val: 311.08, M_Val: 37000000) Branch: trueBranch']"
1,111.4,124028987.28,11564554.47,0.29,0.05,9871082.28,2587243.74,0,0,3,8,"['D 1 -> F_name: DTH  (F_Val: 9871082.28, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 111.4, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9871082.28, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.29, M_Val: 0.275) Branch: falseBranch', 'D 5 -> F_name: RTT  (F_Val: 111.4, M_Val: 73500000) Branch: trueBranch', 'D 6 -> F_name: DJ  (F_Val: 124028987.28, M_Val: 29000000) Branch: falseBranch', 'D 7 -> F_name: DJ  (F_Val: 124028987.28, M_Val: 206000000) Branch: trueBranch', 'D 8 -> F_name: RTT  (F_Val: 111.4, M_Val: 37000000) Branch: trueBranch']"
2,125.23,53674683.18,123751397.3,0.62,0.26,4508324.63,24076100.74,0,0,3,8,"['D 1 -> F_name: DTH  (F_Val: 4508324.63, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 125.23, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 4508324.63, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.62, M_Val: 0.275) Branch: falseBranch', 'D 5 -> F_name: RTT  (F_Val: 125.23, M_Val: 73500000) Branch: trueBranch', 'D 6 -> F_name: DJ  (F_Val: 53674683.18, M_Val: 29000000) Branch: falseBranch', 'D 7 -> F_name: DJ  (F_Val: 53674683.18, M_Val: 206000000) Branch: trueBranch', 'D 8 -> F_name: RTT  (F_Val: 125.23, M_Val: 37000000) Branch: trueBranch']"
3,623.27,30959658.02,122140422.18,0.62,0.41,7309751.32,7108248.17,0,0,3,8,"['D 1 -> F_name: DTH  (F_Val: 7309751.32, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 623.27, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 7309751.32, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.62, M_Val: 0.275) Branch: falseBranch', 'D 5 -> F_name: RTT  (F_Val: 623.27, M_Val: 73500000) Branch: trueBranch', 'D 6 -> F_name: DJ  (F_Val: 30959658.02, M_Val: 29000000) Branch: falseBranch', 'D 7 -> F_name: DJ  (F_Val: 30959658.02, M_Val: 206000000) Branch: trueBranch', 'D 8 -> F_name: RTT  (F_Val: 623.27, M_Val: 37000000) Branch: trueBranch']"
4,488.88,117079408.28,58423491.53,0.8,0.34,3861502.16,25116424.52,0,0,3,8,"['D 1 -> F_name: DTH  (F_Val: 3861502.16, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 488.88, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 3861502.16, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.8, M_Val: 0.275) Branch: falseBranch', 'D 5 -> F_name: RTT  (F_Val: 488.88, M_Val: 73500000) Branch: trueBranch', 'D 6 -> F_name: DJ  (F_Val: 117079408.28, M_Val: 29000000) Branch: falseBranch', 'D 7 -> F_name: DJ  (F_Val: 117079408.28, M_Val: 206000000) Branch: trueBranch', 'D 8 -> F_name: RTT  (F_Val: 488.88, M_Val: 37000000) Branch: trueBranch']"
5,172211718,1462940.373,967358.4,0.25,0,6904033.241,6688152.991,1,1,5,8,"['D 1 -> F_name: DTH  (F_Val: 6904033.241, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 172211718, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 6904033.241, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.25, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1462940.373, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 6904033.241, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 172211718, M_Val: 157500000) Branch: falseBranch', 'D 8 -> F_name: DJ  (F_Val: 1462940.373, M_Val: 29000000) Branch: trueBranch']"
6,329342189.4,2217979.68,4026196.84,0,0,206766.1582,1152765.337,1,1,3,8,"['D 1 -> F_name: DTH  (F_Val: 206766.1582, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 329342189.4, M_Val: 310000000) Branch: falseBranch', 'D 3 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 4 -> F_name: DJ  (F_Val: 2217979.68, M_Val: 206000000) Branch: trueBranch', 'D 5 -> F_name: RTT  (F_Val: 329342189.4, M_Val: 1404000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 206766.1582, M_Val: 375000) Branch: trueBranch', 'D 7 -> F_name: UL  (F_Val: 0.0, M_Val: 0.105) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 2217979.68, M_Val: 77000000) Branch: trueBranch']"
7,14226774237,78439389.08,124548859.2,0,0,41369.68321,34202.56526,1,1,1,8,"['D 1 -> F_name: DTH  (F_Val: 41369.68321, M_Val: 187500) Branch: trueBranch', 'D 2 -> F_name: RTT  (F_Val: 14226774237, M_Val: 234500000) Branch: falseBranch', 'D 3 -> F_name: DL  (F_Val: 0.0, M_Val: 0.105) Branch: trueBranch', 'D 4 -> F_name: UL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 78439389.08, M_Val: 29000000) Branch: falseBranch', 'D 6 -> F_name: RTT  (F_Val: 14226774237, M_Val: 281500000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 14226774237, M_Val: 1132500000) Branch: falseBranch', 'D 8 -> F_name: UJ  (F_Val: 124548859.2, M_Val: 206000000) Branch: trueBranch']"
8,14226774237,78439389.08,124548859.2,0,0,41369.68321,34202.56526,1,1,1,8,"['D 1 -> F_name: DTH  (F_Val: 41369.68321, M_Val: 187500) Branch: trueBranch', 'D 2 -> F_name: RTT  (F_Val: 14226774237, M_Val: 234500000) Branch: falseBranch', 'D 3 -> F_name: DL  (F_Val: 0.0, M_Val: 0.105) Branch: trueBranch', 'D 4 -> F_name: UL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 78439389.08, M_Val: 29000000) Branch: falseBranch', 'D 6 -> F_name: RTT  (F_Val: 14226774237, M_Val: 281500000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 14226774237, M_Val: 1132500000) Branch: falseBranch', 'D 8 -> F_name: UJ  (F_Val: 124548859.2, M_Val: 206000000) Branch: trueBranch']"
9,3303547790,11294340.32,27797712.96,0,0,110344.9385,32443.88377,2,2,1,8,"['D 1 -> F_name: DTH  (F_Val: 110344.9385, M_Val: 187500) Branch: trueBranch', 'D 2 -> F_name: RTT  (F_Val: 3303547790, M_Val: 234500000) Branch: falseBranch', 'D 3 -> F_name: DL  (F_Val: 0.0, M_Val: 0.105) Branch: trueBranch', 'D 4 -> F_name: UL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 11294340.32, M_Val: 29000000) Branch: trueBranch', 'D 6 -> F_name: RTT  (F_Val: 3303547790, M_Val: 769000000) Branch: falseBranch', 'D 7 -> F_name: UL  (F_Val: 0.0, M_Val: 0.105) Branch: trueBranch', 'D 8 -> F_name: UTH  (F_Val: 32443.88377, M_Val: 6000000) Branch: trueBranch']"
,,,,,,,,,,,,
,Second ,1,,,,,,,,,,
,nano,1000000000,,,,,,,,,,
,micro,1000000,,,,,,,,,,
,mili,1000,,,,,,,,,,
,Kbit,1000,bits,,,,,,,,,
,,,,,,,,,,,,
,RTT (ms),DJ (ms),UJ (ms),DL (%),UL (%),DTH (Kbps),UTH (Kbps),User Feedback,Youtube_720P,"Youtube
AUTO",,
0,0.0003,55.7239,53.6146,0.4100,0.6800,1024.3658,10381.0765,0,0,3,,
1,0.0001,124.0290,11.5646,0.2900,0.0500,9871.0823,2587.2437,0,0,3,,
2,0.0001,53.6747,123.7514,0.6200,0.2600,4508.3246,24076.1007,0,0,3,,
3,0.0006,30.9597,122.1404,0.6200,0.4100,7309.7513,7108.2482,0,0,3,,
4,0.0005,117.0794,58.4235,0.8000,0.3400,3861.5022,25116.4245,0,0,3,,
5,172.2117,1.4629,0.9674,0.2500,0.0000,6904.0332,6688.1530,1,1,5,,
6,329.3422,2.2180,4.0262,0.0000,0.0000,206.7662,1152.7653,1,1,3,,
7,14226.7742,78.4394,124.5489,0.0000,0.0000,41.3697,34.2026,1,1,1,,
8,14226.7742,78.4394,124.5489,0.0000,0.0000,41.3697,34.2026,1,1,1,,
9,3303.5478,11.2943,27.7977,0.0000,0.0000,110.3449,32.4439,2,2,1,,
