,index,YOUTUBE_AUTO_MOS,FEEDBACK_VALUE,idx,Val_%,Feedback_MoS
0,0,1,109,,0.41,m_1
1,1,2,9,,0.03,m_1
2,2,3,117,,0.44,m_1
3,0,4,0,4.0,0.0,m_1
4,3,5,30,,0.11,m_1
0,0,1,21,,0.14,m_2
1,1,2,8,,0.05,m_2
2,2,3,102,,0.66,m_2
3,0,4,0,4.0,0.0,m_2
4,3,5,23,,0.15,m_2
0,0,1,17,,0.08,m_3
1,0,2,0,2.0,0.0,m_3
2,1,3,165,,0.74,m_3
3,0,4,0,4.0,0.0,m_3
4,2,5,42,,0.19,m_3
0,0,1,88,,0.11,m_4
1,1,2,1,,0.0,m_4
2,2,3,506,,0.65,m_4
3,0,4,0,4.0,0.0,m_4
4,3,5,188,,0.24,m_4
0,0,1,56,,0.1,m_5
1,0,2,0,2.0,0.0,m_5
2,1,3,169,,0.3,m_5
3,0,4,0,4.0,0.0,m_5
4,2,5,345,,0.61,m_5
